county_id,site_id,county,is_changed,site,street,city,zip,lat,lng
34,109,FORSYTH,1,WR ANDERSON JR CENTER (REYNOLDS PARK),2450 REYNOLDS PARK RD,WINSTON SALEM,27107,36.087039,-80.204605
35,110,FRANKLIN,0,BUNN LIBRARY,610 MAIN ST,BUNN,27508,35.953687,-78.246613
35,111,FRANKLIN,0,FRANKLIN COUNTY BOARD OF ELECTIONS OFFICE,107 INDUSTRIAL DR,LOUISBURG,27549,36.104469,-78.289434
35,112,FRANKLIN,0,FRANKLINTON LIBRARY,9 W MASON ST,FRANKLINTON,27525,36.103888,-78.458365
35,113,FRANKLIN,0,YOUNGSVILLE LIBRARY,218 U S 1A HWY,YOUNGSVILLE,27596,36.020107,-78.485742
36,114,GASTON,1,CITIZENS RESOURCE CENTER,1303 DALLAS CHERRYVILLE HWY,DALLAS,28034,35.314932,-81.197399
36,115,GASTON,1,GASTON COUNTY BOARD OF ELECTIONS OFFICE,410 W FRANKLIN BLVD # 30,GASTONIA,28052,35.262838,-81.187958
36,116,GASTON,1,MOUNT HOLLY CITIZENS CENTER,400 E CENTRAL AVE,MOUNT HOLLY,28120,35.29665,-81.01027
37,117,GATES,1,GATES COUNTY BOARD OF ELECTIONS OFFICE,931 MAIN ST,GATESVILLE,27938,36.418374,-76.757616
38,118,GRAHAM,0,GRAHAM COUNTY BOARD OF ELECTIONS OFFICE,18 COURT ST,ROBBINSVILLE,28771,35.323222,-83.806415
39,119,GRANVILLE,1,RICHARD H. THORNTON LIBRARY CONFERENCE ROOM,210 MAIN ST,OXFORD,27565,36.309511,-78.587609
39,120,GRANVILLE,1,SOUTH BRANCH LIBRARY,1550 SOUTH CAMPUS DR,CREEDMOOR,27522,36.14237,-78.72221
39,121,GRANVILLE,1,TAR RIVER ELEMENTARY SCHOOL,2642 PHILO WHITE RD,FRANKLINTON,27525,36.153211,-78.572294
40,122,GREENE,0,GREENE COUNTY BOARD OF ELECTIONS OFFICE,110 SE FIRST ST,SNOW HILL,28580,35.455606,-77.669406
41,123,GUILFORD,1,BROWN RECREATION CENTER,302 E VANDALIA RD,GREENSBORO,27406,36.014753,-79.784755
41,124,GUILFORD,1,BUR-MIL CLUB,5834 BUR-MILL CLUB RD,GREENSBORO,27410,36.167682,-79.869365
41,125,GUILFORD,1,CRAFT RECREATION CENTER,3911 YANCEYVILLE ST,GREENSBORO,27405,36.136496,-79.777039
41,126,GUILFORD,1,DEEP RIVER RECREATION CENTER,1529 SKEET CLUB RD,HIGH POINT,27265,36.038594,-79.979409
41,127,GUILFORD,1,GUILFORD AG CENTER,3309 BURLINGTON RD,GREENSBORO,27405,36.08494,-79.738498
41,128,GUILFORD,1,GUILFORD COUNTY BOARD OF ELECTIONS OFFICE,301 W MARKET ST,GREENSBORO,27401,36.072165,-79.792662
